product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn
1,Snacks,Banh,Banh,Banh Khot,Mini savory pancakes with shrimp and scallions.,5 pieces,4.31,$6.46,Y,N,N
2,Traditional Dishes,Noodles,Bun,Bun Cha,Grilled pork meatballs with vermicelli and dipping sauce.,1 bowl,5.12,$7.68,N,N,N
3,Traditional Dishes,Seafood,Goi,Goi Cuon,"Fresh spring rolls with shrimp, pork, and vegetables.",2 rolls,3.8,$5.70,N,Y,N
4,Desserts,Smoothie,Sinh To,Sinh To Bo,Avocado smoothie blended with condensed milk.,1 cup,1.59,$2.39,N,N,N
5,Street Food,Banh,Banh,Banh Trang Nuong,Vietnamese grilled rice paper topped with egg and pork.,1 piece,3.33,$5.00,Y,N,N
6,Beverages,Juice,Nuoc Chanh,Nuoc Chanh,Homemade lemonade with fresh lime juice.,1 glass,2.71,$4.06,Y,N,Y
7,Street Food,Rice Cake,Banh,Banh Xeo,"Vietnamese crispy pancake filled with shrimp, pork, and bean sprouts.",1 pancake,3.49,$5.24,N,N,Y
8,Desserts,Sweet Soup,Che,Che Ba Mau,"A three-color dessert with red beans, mung beans, and coconut milk.",1 cup,2.54,$3.81,N,Y,N
9,Snacks,Salad,Goi,Goi Ga,Vietnamese chicken salad with herbs and peanuts.,1 bowl,2.23,$3.34,N,Y,N
10,Desserts,Frozen,Kem,Kem Xoi,Sticky rice with ice cream and crushed peanuts.,1 serving,2.61,$3.92,N,Y,N
11,Beverages,Coffee,Ca Phe,Ca Phe Sua Da,Vietnamese iced coffee with condensed milk.,1 cup,1.03,$1.54,N,Y,N
12,Street Food,Banh,Banh,Banh Trang Nuong,Vietnamese grilled rice paper topped with egg and pork.,1 piece,2.17,$3.25,N,N,N
13,Snacks,Salad,Goi,Goi Ga,Vietnamese chicken salad with herbs and peanuts.,1 bowl,4.49,$6.74,Y,Y,N
14,Traditional Dishes,Noodles,Hu Tieu,Hu Tieu Nam Vang,A sweet and savory noodle soup from the Mekong Delta.,1 bowl,4.2,$6.30,N,Y,N
15,Street Food,Xoi,Xoi,Xoi Ga,Sticky rice with chicken and herbs.,1 plate,3.48,$5.22,Y,N,Y
16,Traditional Dishes,Noodles,Pho,Pho Ga,"A Vietnamese soup with chicken, rice noodles, and herbs.",1 bowl,3.07,$4.60,N,Y,Y
