receipt_id,receipt_date,receipt_time,store_id,product_id,quantity,unit_price,total_price,payment_type,cashier_id,custom_id
7,2019-04-29,20:42:59,3,64,4,7.03,28.12,Credit Card,8,558
11,2019-04-30,05:05:01,5,50,1,12.36,12.36,Mobile Payment,10,781
19,2019-04-18,21:34:23,4,97,2,14.31,28.62,Credit Card,3,788
32,2019-04-18,13:27:14,3,62,4,13.23,52.92,Credit Card,1,683
33,2019-04-01,13:02:41,5,87,5,11.43,57.15,Mobile Payment,7,99
39,2019-04-16,22:23:16,4,54,4,11.03,44.12,Cash,5,664
50,2019-04-11,09:15:52,2,93,3,9.99,29.97,Mobile Payment,10,316
53,2019-04-22,07:39:13,2,92,4,3.68,14.72,Cash,9,38
59,2019-04-10,03:20:59,1,27,5,3.53,17.65,Mobile Payment,4,370
62,2019-04-05,14:41:53,1,13,1,11.8,11.8,Cash,7,180
81,2019-04-30,02:27:03,2,57,2,12.07,24.14,Credit Card,8,35
90,2019-04-17,04:48:27,3,40,2,7.17,14.34,Mobile Payment,5,595
91,2019-04-16,05:35:46,2,80,3,8.12,24.36,Cash,5,500
94,2019-04-13,00:37:55,2,32,2,14.98,29.96,Cash,2,128
101,2019-04-01,22:20:24,4,95,1,11.42,11.42,Cash,2,599
103,2019-04-24,04:21:44,2,62,4,12.39,49.56,Cash,9,152
108,2019-04-10,07:23:56,5,24,3,8.03,24.09,Cash,6,65
112,2019-04-13,14:44:07,5,67,3,2.17,6.51,Mobile Payment,3,90
117,2019-04-10,06:37:50,2,7,2,9.85,19.7,Cash,6,82
120,2019-04-29,23:55:45,1,48,2,11.35,22.7,Credit Card,7,174
127,2019-04-07,00:57:11,4,65,3,6.04,18.12,Credit Card,9,116
134,2019-04-02,10:20:18,1,85,1,2.69,2.69,Cash,2,189
135,2019-04-12,23:28:28,1,56,3,7.14,21.42,Credit Card,10,131
137,2019-04-22,07:34:11,2,72,5,7.15,35.75,Credit Card,2,264
138,2019-04-09,09:23:47,1,100,4,4.95,19.8,Credit Card,5,722
141,2019-04-27,22:35:57,1,1,3,9.99,29.97,Credit Card,4,302
143,2019-04-17,22:01:47,3,66,4,2.1,8.4,Credit Card,5,174
150,2019-04-07,20:59:23,3,9,1,8.66,8.66,Cash,2,604
156,2019-04-30,13:53:32,2,18,5,2.54,12.7,Mobile Payment,4,32
156,2019-04-09,02:48:30,2,3,5,6.87,34.35,Mobile Payment,8,32
162,2019-04-09,02:26:41,5,13,2,10.32,20.64,Credit Card,1,470
165,2019-04-05,19:12:29,2,8,1,5.48,5.48,Mobile Payment,4,127
175,2019-04-19,14:43:10,1,2,5,6.41,32.05,Credit Card,3,553
180,2019-04-26,02:55:43,4,1,3,2.28,6.84,Mobile Payment,9,518
199,2019-04-24,15:30:35,4,70,5,7.75,38.75,Cash,9,112
199,2019-04-02,23:19:35,4,48,1,10.49,10.49,Credit Card,6,112
202,2019-04-30,04:18:39,5,70,3,9.2,27.6,Mobile Payment,7,437
212,2019-04-04,14:40:07,3,91,2,11.79,23.58,Mobile Payment,5,552
219,2019-04-12,20:31:46,2,37,3,4.71,14.13,Credit Card,2,194
224,2019-04-05,04:44:46,1,44,1,11.62,11.62,Credit Card,10,788
226,2019-04-09,22:39:52,5,19,2,2.54,5.08,Mobile Payment,6,533
227,2019-04-17,17:56:16,3,63,3,2.62,7.86,Credit Card,9,521
238,2019-04-01,18:19:25,5,44,1,5.63,5.63,Mobile Payment,4,512
247,2019-04-16,13:14:28,1,88,3,11.93,35.79,Credit Card,6,178
248,2019-04-01,16:35:12,5,67,3,12.37,37.11,Credit Card,10,416
249,2019-04-12,09:29:42,1,32,1,6.74,6.74,Mobile Payment,5,22
260,2019-04-12,11:19:49,3,71,1,7.28,7.28,Cash,7,642
262,2019-04-12,12:03:12,3,39,2,7.87,15.74,Mobile Payment,9,189
268,2019-04-30,12:39:22,3,14,2,11.05,22.1,Credit Card,3,223
269,2019-04-15,16:33:13,4,95,5,14.02,70.1,Credit Card,1,40
270,2019-04-17,09:40:58,1,70,4,3.12,12.48,Mobile Payment,6,344
276,2019-04-21,11:21:38,4,92,5,14.24,71.2,Cash,5,401
281,2019-04-25,19:05:47,2,65,2,13.42,26.84,Cash,4,189
290,2019-04-09,17:22:48,5,94,5,13.55,67.75,Credit Card,9,517
296,2019-04-26,10:38:01,3,32,4,3.09,12.36,Cash,2,328
296,2019-04-17,08:58:26,4,17,1,14.83,14.83,Mobile Payment,8,328
297,2019-04-03,13:15:01,2,7,4,12.77,51.08,Mobile Payment,9,331
298,2019-04-24,22:49:19,1,19,4,2.31,9.24,Credit Card,3,414
317,2019-04-29,15:41:47,2,21,3,11.5,34.5,Credit Card,6,567
325,2019-04-01,22:49:11,2,86,2,10.86,21.72,Credit Card,6,526
326,2019-04-27,18:44:25,3,24,5,4.35,21.75,Cash,2,659
334,2019-04-15,05:04:21,4,18,5,8.17,40.85,Mobile Payment,6,492
337,2019-04-21,02:31:38,5,64,2,12.74,25.48,Cash,10,655
344,2019-04-12,21:18:25,5,91,5,9.04,45.2,Credit Card,8,500
357,2019-04-28,16:35:26,1,44,5,13.58,67.9,Cash,6,530
357,2019-04-10,23:40:44,1,7,2,5.68,11.36,Credit Card,5,530
360,2019-04-26,12:36:01,1,62,4,2.8,11.2,Cash,1,114
366,2019-04-28,23:17:53,3,73,4,10.44,41.76,Mobile Payment,1,301
